"IDRSSD","CERT","CB","CHARTER_TYPE","SDI_BK_CLASS_DESC","SDI_REGAGNT_DESC","INST_NAME","INST_STATE","OCC_ID","OTS_ID","TOTAL_BNK_EQUITY_CAPITAL","TOTAL_ASSETS","TOTAL_ASSETS_RCON2170","OTHR_INTANGIBLES","GOODWILL","NET_DEF_TAX_ASST","TIER1LEVERAGE","STATE_DESC","ADJ_TOTAL_BNK_EQ_CAP","ADJ_TOTAL_ASSETS","SIMPLE_LEVERAGE_RATIO"
980951,1417,1,"National Charter","N","OCC","WOODLANDS NATIONAL BANK","MN",23926,0,22160,162280,159686,72,2285,434,0.1232,"Minnesota",19369,159489,0.1214441121331251685069189724683206992332
85258,8212,1,"State-Chartered","NM","FDIC","EXCHANGE STATE BANK","MN",0,0,15521,158080,159486,0,515,0,0.0956,"Minnesota",15006,157565,0.0952368863643575667184971281693269444356
1481754,33202,1,"State-Chartered","NM","FDIC","PREMIER BANK ROCHESTER","MN",0,0,16047,155769,158095,0,0,0,0.1032,"Minnesota",16047,155769,0.1030179303969339213835872349440517689656
58757,1409,1,"State-Chartered","NM","FDIC","KENSINGTON BANK","MN",0,0,17263,148803,155811,333,886,0,0.1097,"Minnesota",16044,147584,0.1087109713790112749349522983521248915872
903455,13654,1,"State-Chartered","NM","FDIC","BANK OF ZUMBROTA","MN",0,0,18495,154151,154120,244,0,0,0.1175,"Minnesota",18251,153907,0.1185845997907827454241847349373322850813
328656,8821,1,"State-Chartered","NM","FDIC","UNITED FARMERS STATE BANK","MN",0,0,17019,145057,146448,0,0,0,0.1142,"Minnesota",17019,145057,0.1173262924229785532583742942429527702903
207555,9746,1,"National Charter","N","OCC","NORTHWESTERN BANK, NATIONAL ASSOCIATION","MN",24372,0,15207,140418,143215,0,1371,0,0.0984,"Minnesota",13836,139047,0.0995059224578739562881615568836436600574
983550,9745,1,"State-Chartered","NM","FDIC","HOME STATE BANK","MN",0,0,16625,139899,142925,0,0,0,0.1192,"Minnesota",16625,139899,0.1188357314920049464256356371382211452548
914853,21525,1,"State-Chartered","NM","FDIC","CORNERSTONE STATE BANK","MN",0,0,14248,139683,142782,122,0,0,0.1003,"Minnesota",14126,139561,0.101217388812060675976813006498950279806
1000959,8824,1,"State-Chartered","NM","FDIC","EAGLE BANK","MN",0,0,18767,139924,141335,0,368,0,0.1332,"Minnesota",18399,139556,0.1318395482816933704032789704491386970105
269058,10989,1,"State-Chartered","NM","FDIC","ANNANDALE STATE BANK","MN",0,0,16161,137511,140382,0,0,0,0.1165,"Minnesota",16161,137511,0.1175251434430700089447389663372384754674
